"","recording_num","t1","fishnum"
"1",1,NA,"t19"
"2",2,18,"t19"
"3",3,14.85,"t19"
"4",4,10.75,"t19"
"5",5,10.1,"t19"
"6",6,11.6,"t19"
"7",7,NA,"t19"
"8",8,NA,"t19"
"9",9,15.4,"t19"
"10",10,13.75,"t19"
"11",11,11.95,"t19"
"12",12,4.35,"t19"
"13",13,6,"t19"
"14",14,NA,"t19"
"15",15,NA,"t19"
"16",16,0.95,"t19"
"17",17,11.25,"t19"
